source,canton_nom,region,prefecture_nom,FRI,fri_classe,total_pop,proxy_risque_panne,coord_invalide,location_name,latitude,longitude,forage_chateau_nom
COSO,Balanka,Centrale,C04,0.08776862347742136,Modéré,9922.117982,Faible risque,False,ALEGBA,8.824055,1.606965,
COSO,Koussountou,Centrale,C04,0.08074694899684193,Modéré,24763.546913000002,Faible risque,False,ATONTOMI,8.888017,1.577222,
COSO,Tchamba,Centrale,C04,0.2408882202204571,Élevé,51412.713723,Risque élevé,False,BELAGNI,8.918368,1.614907,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Risque modéré,False,AGBANSIKITI,8.691495,1.619747,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Risque modéré,False,ATAFA 2,8.694493,1.563569,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Risque modéré,False,BOLEA,8.528625,1.612648,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Risque modéré,False,KALA 2,8.673588,1.604208,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Faible risque,False,ODORIN,8.594615,1.616948,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Risque modéré,False,SOLIMBIA,8.764615,1.617617,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,ASSERE,9.799855,1.298193,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,KAGNISSI,9.7638567,1.3124717,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,KAWA,9.73982,1.3079933,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,KPANAHORE,9.75361,1.331408,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,SOMSIA,9.7106983,1.3185617,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,WAZE,9.744758,1.320824,
COSO,Pagouda,Kara,D03,0.08275879046077705,Modéré,16463.050477,Faible risque,False,KADJANGA,9.724313,1.35165,
COSO,Kémérida,Kara,D03,0.06312776105114662,Faible,5699.819119,Faible risque,False,TERODA,9.671325,1.357624,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,NAPOGO,11.10989,-0.081831,
COSO,Noaga,Savanes,E01,0.054625803241745804,Faible,1351.872147,Risque modéré,False,SANDOGO,11.099809,-0.067271,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,WOURI-WOURI,11.116633,-0.03386,
COSO,Noaga,Savanes,E01,0.054625803241745804,Faible,1351.872147,Risque modéré,False,ZAMISSI,11.089657,-0.066757,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,ZINTANGO,11.125808,-0.08592,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,BARGOUNDE,11.081848,0.015431,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Faible risque,False,KODAGO,11.10398,0.042313,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,SAYODE,11.07053,0.019593,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Faible risque,False,TIMANGA (CINKASSE),11.083669,0.031963,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,YIEGOU (CINKASSE),11.098188,0.036734,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,BINGOULA,11.1176724,-0.081247,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque modéré,False,GNOAGA CENTRE,11.105457,-0.103617,
COSO,Noaga,Savanes,E01,0.054625803241745804,Faible,1351.872147,Risque modéré,False,YOUMAKOU,11.099301,-0.10443,
COSO,Gouloungoussi,Savanes,E01,0.06152353732469032,Faible,4300.628436,Risque modéré,False,KOULTAMSÉ,11.125092,-0.110754,
COSO,Gouloungoussi,Savanes,E01,0.06152353732469032,Faible,4300.628436,Risque modéré,False,SINOGO,11.125092,-0.110754,
COSO,Gouloungoussi,Savanes,E01,0.06152353732469032,Faible,4300.628436,Faible risque,False,TENNOGO,11.106438,-0.112391,
COSO,Gouloungoussi,Savanes,E01,0.06152353732469032,Faible,4300.628436,Risque élevé,False,ZOUBEKO,11.110269,-0.127504,
COSO,Timbou,Savanes,E01,0.08334983585823232,Modéré,16092.887444,Risque modéré,False,DATOULONTE (TIMBOU),10.989956,0.141467,
COSO,Biankouri,Savanes,E01,0.07192656944218638,Faible,15559.899867999999,Risque modéré,False,NAMBUITITE TIMBOU,11.033372,0.070502,
COSO,Koundjoaré,Savanes,E02,0.10923738545553606,Modéré,17254.4925,Risque élevé,False,TOMONLE,10.884821,0.669152,
COSO,Mandouri,Savanes,E02,0.19156734783243143,Élevé,18144.133,Risque modéré,False,MANDOURI CENTRE,10.846096,0.817863,
COSO,Nali,Savanes,E05,0.0786501700300937,Faible,9649.76,Risque modéré,False,NALI ANGOH,10.0454774,0.4536523,
COSO,Tchamonga,Savanes,E05,0.16303100343295712,Élevé,25849.078,Risque modéré,False,KARKOU,10.48327,0.7693367,
COSO,Tchamonga,Savanes,E05,0.16303100343295712,Élevé,25849.078,Risque modéré,False,IBASSANDJA,10.4859533,0.7485683,
COSO,Sissiak,Savanes,E06,0.08680970565627284,Modéré,21951.207428,Risque modéré,False,SIBIOGUE,10.771387,0.091253,
COSO,Tampialime,Savanes,E06,0.07181330483461468,Faible,11006.497424000001,Faible risque,False,KPINKPARBAGOU 1,10.76495,-0.035277,
COSO,Lotogou,Savanes,E07,0.08064929400306683,Modéré,14368.997732000002,Risque élevé,False,KOULMATIK-MIRE,10.77684,0.052255,
COSO,Tampialime,Savanes,E06,0.07181330483461468,Faible,11006.497424000001,Faible risque,False,KPINKPARBAGOU 2,10.7588133,-0.0154217,
COSO,Sissiak,Savanes,E06,0.08680970565627284,Modéré,21951.207428,Risque modéré,False,PIABRIBAGOU,10.780718,0.127192,
COSO,Tampialime,Savanes,E06,0.07181330483461468,Faible,11006.497424000001,Faible risque,False,NALONGUE 1,10.7307983,-0.0069233,
COSO,Mango,Savanes,E04,0.1485936522422084,Élevé,46142.328,Risque élevé,False,MAGNA,10.3384158,0.4571656,
COSO,Mango,Savanes,E04,0.1485936522422084,Élevé,46142.328,Risque élevé,False,FOMBORO,10.3531358,0.4777628,
COSO,Mango,Savanes,E04,0.1485936522422084,Élevé,46142.328,Risque élevé,False,DOUANE-EST,10.3392083,0.4729033,
COSO,Mango,Savanes,E04,0.1485936522422084,Élevé,46142.328,Risque élevé,False,DJABOU,10.3644199,0.4783607,
COSO,Mango,Savanes,E04,0.1485936522422084,Élevé,46142.328,Risque élevé,False,GNANGBANDI (MANGO),10.32394,0.43644,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Risque modéré,False,GNABADJOUANI 2,10.966555,0.13158,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Faible risque,False,YOBRE 1,10.938128,0.094391,
COSO,Takpamba,Savanes,E05,0.12152908397245658,Modéré,11565.466044,Risque élevé,False,DJIRIDJO,10.01441,0.5215,
COSO,Naompoch,Kara,D04,0.11413936699690165,Modéré,12702.092056000001,Risque élevé,False,SAPOLI,9.844028,0.704147,
COSO,Takpamba,Savanes,E05,0.12152908397245658,Modéré,11565.466044,Risque modéré,False,LENIDO,9.946635,0.5972867,
COSO,Tami,Savanes,E07,0.08971112259392547,Modéré,27285.246944000002,Risque élevé,False,SAMBROUGUE,10.9115583,-0.005415,
COSO,Tami,Savanes,E07,0.08971112259392547,Modéré,27285.246944000002,Risque élevé,False,POAMONGUE,10.853297,0.063415,
COSO,Lotogou,Savanes,E07,0.08064929400306683,Modéré,14368.997732000002,Risque élevé,False,LOTOGOU CENTRE,10.798171,0.025296,
COSO,Doukpergou,Savanes,E06,0.06699760876956708,Faible,7683.922928,Risque élevé,False,MAGNA BAS,10.6417033,0.0908567,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Risque élevé,False,KPATCHIANGBANE 1,10.9534483,-0.0034733,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Risque élevé,False,BASSOUDOUGOU,10.9422383,0.0246017,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Risque élevé,False,NAKORGOU,10.933573,0.068247,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Risque élevé,False,KARIATA,10.893852,0.061661,
COSO,Naki-Ouest,Savanes,E07,0.1395996130609366,Élevé,29006.828232000003,Risque élevé,False,TCHANDANA,10.934593,0.11905,
COSO,Tamongue,Savanes,E06,0.08099052721406387,Modéré,25918.681132,Risque élevé,False,KEREKETE,10.4833243,0.2093732,
COSO,Galangashie,Savanes,E04,0.1535981720884317,Élevé,13586.156,Risque élevé,False,KPANDJINI,10.5348583,0.32996,
COSO,Gando,Savanes,E05,0.09015667302148637,Modéré,27533.431500000002,Faible risque,False,DJE-DJABOU,10.3179254,0.7220782,
COSO,Gando,Savanes,E05,0.09015667302148637,Modéré,27533.431500000002,Risque élevé,False,GBATENI,10.2540124,0.7433078,
COSO,Gando,Savanes,E05,0.09015667302148637,Modéré,27533.431500000002,Risque élevé,False,NAKPATI,10.3497677,0.8183641,
COSO,Nanergou,Savanes,E07,0.08035385820283117,Modéré,12015.208568,Risque élevé,False,TCHANKOUNKOUNKONG,10.936937,0.146811,
COSO,Tami,Savanes,E07,0.08971112259392547,Modéré,27285.246944000002,Risque élevé,False,TAMI-CENTRE,10.858083,0.040576,
COSO,Warkambou,Savanes,E07,0.06753767007001664,Faible,7144.5338360000005,Risque élevé,False,WARKAMBOU CENTRE 1,10.804232,-0.013278,
COSO,Koundjoaré,Savanes,E02,0.10923738545553606,Modéré,17254.4925,Risque élevé,False,TAMBATE,10.935298,0.64414,
COSO,Koundjoaré,Savanes,E02,0.10923738545553606,Modéré,17254.4925,Risque élevé,False,SANLOAGA,10.968935,0.786435,
COSO,Sangou,Savanes,E06,0.04103111557416093,Faible,4302.68124,Risque élevé,False,PATKONE TOMONG,10.6047967,0.0393583,
COSO,Tami,Savanes,E07,0.08971112259392547,Modéré,27285.246944000002,Risque élevé,False,NATCHARE,10.8657,0.031187,
COSO,Kaboli,Centrale,C04,0.09316663475903039,Modéré,33900.633549,Risque élevé,False,KABOLI,8.746372,1.575045,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Risque élevé,False,ZOLALE,11.093908,0.029553,
COSO,Kountoire,Savanes,E05,0.08401723923531405,Modéré,15218.455194,Risque élevé,False,NASSIKOU,10.165172,0.729873,
COSO,Kountoire,Savanes,E05,0.08401723923531405,Modéré,15218.455194,Risque élevé,False,TIEPAH,10.178085,0.612965,
COSO,Sagbiebou,Savanes,E05,0.0745028629053183,Faible,12685.904,Risque élevé,False,BAOULE,10.263224,0.578949,
COSO,Balanka,Centrale,C04,0.08776862347742136,Modéré,9922.117982,Risque modéré,False,DOGODE,8.786747,1.630917,
COSO,Boadé,Savanes,E01,0.19562829290221415,Élevé,46270.254552,Faible risque,False,BOADE CENTRE,11.137485,-0.081247,
